mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.3,3,none,none,2,0.702526092820065,0.4207587255883061,0.16325394755594846,-0.3879989590891699,-0.8632512532525906,13.724137931034482
4,4,0.5,0.3,3,none,none,4,0.5960760574386665,0.443037376307092,0.1398952558193336,-0.31576400389831893,-0.35312489441004835,9.770114942528735
4,4,0.5,0.3,3,none,0.15,1,0.8422500726041697,0.49233571496274997,0.1296004567614979,-0.2632359441388554,-0.7941251148287753,12.471606376628031
4,4,0.5,0.3,3,none,0.15,2,0.7827936872881773,0.41112043772919316,0.1242950496636932,-0.3023324511674287,-0.9418945755615211,8.692917482645335
4,4,0.5,0.3,3,none,0.15,4,0.742914776284004,0.6455263778069869,0.11655296877087684,-0.18055492816085406,-0.2092663646358569,6.385220314362706
4,4,0.5,0.3,3,none,0.2,1,0.7884121611902338,0.4874495775009049,0.15283300345436635,-0.31353602610124864,-0.7143039903369596,16.006273881725125
4,4,0.5,0.3,3,none,0.2,2,0.7240957294603451,0.4004837685673304,0.14221431665132944,-0.35510631844101814,-0.8572695629346694,10.922387904221582
4,4,0.5,0.3,3,none,0.2,4,0.6709413642000063,0.5644046487117724,0.13182161613775012,-0.23355870019608604,-0.31686639040694936,8.009382836581793
4,4,0.5,0.3,3,br30,none,1,0.6367975729312938,0.3665002644129365,0.125242445346178,-0.34172538878462344,-1.6796066012984303,16.068965517241377
4,4,0.5,0.3,3,br30,none,2,0.7600964479538025,0.5088178081180796,0.15803202820661477,-0.3105866691087604,-1.347975194736838,10.597701149425287
4,4,0.5,0.3,3,br30,none,4,0.6022763802011158,0.41014128221117174,0.12950785343499005,-0.31576400389831916,-1.8152316627541785,7.632183908045977
4,4,0.5,0.3,3,br30,0.15,1,0.7505612627040478,0.40476889706612745,0.1095034449572152,-0.2705332493453061,-1.574153623051755,10.84653850240208
4,4,0.5,0.3,3,br30,0.15,2,0.8646121174149399,0.5241260595223194,0.13208709319357204,-0.2520139779234679,-1.3704529258353553,7.360055998920764
4,4,0.5,0.3,3,br30,0.15,4,0.7178172908593661,0.4680816876102901,0.10680663290554326,-0.22817947322576537,-1.9461871573696625,5.364117672258345
4,4,0.5,0.3,3,br30,0.2,1,0.7025653575772978,0.39653036343400483,0.1226919529018724,-0.30941376554204836,-1.6544875562367043,13.079124427344697
4,4,0.5,0.3,3,br30,0.2,2,0.8108946480366834,0.5091597389009844,0.14728667966681241,-0.2892740105192313,-1.3660606935553699,8.73018843421113
4,4,0.5,0.3,3,br30,0.2,4,0.6830138313091857,0.48880050612137976,0.12392187136052257,-0.25352238757655887,-1.9117528600489753,6.34173421087558
4,4,0.5,0.3,3,br40,none,1,0.8572599277951202,0.7870668112129625,0.16035243478422379,-0.2037342097262389,-0.9765849384527899,14.0
4,4,0.5,0.3,3,br40,none,2,0.9057794630494591,0.7521265025262941,0.17711167738632527,-0.2354812345947529,-0.6806563187464406,9.402298850574711
4,4,0.5,0.3,3,br40,none,4,0.7688452246202285,0.5208685350361102,0.15569312512163447,-0.29891059768246653,-1.2075804673122064,6.7126436781609184
4,4,0.5,0.3,3,br40,0.15,1,1.008098836940008,0.8889152192727803,0.14259238195432689,-0.1604116780349215,-0.996543690141891,9.74560700663188
4,4,0.5,0.3,3,br40,0.15,2,1.0079452027990046,0.7903619010883447,0.14910357866018642,-0.18865228505431209,-0.7935256310015941,6.712374736518473
4,4,0.5,0.3,3,br40,0.15,4,0.9050667067515004,0.7682513587973148,0.13085499188666105,-0.17032835723390383,-1.3171752477780903,4.81777348538131
4,4,0.5,0.3,3,br40,0.2,1,0.9240289741171607,0.8354044003720343,0.15417836776888638,-0.1845553694716301,-1.0073071240147915,11.593770402927264
4,4,0.5,0.3,3,br40,0.2,2,0.9368914563490053,0.7332121629569369,0.1622983105195157,-0.22135245256296687,-0.7357585511481619,7.881854239890742
4,4,0.5,0.3,3,br40,0.2,4,0.8351716419055056,0.650599294601296,0.14483467577395737,-0.22261732678747492,-1.2839055936347936,5.6606510821282034
4,4,0.5,0.3,3,mkt_ma20,none,1,0.7371737286886428,0.5574408681303683,0.13648975326770652,-0.2448506398992364,-0.946645693588895,13.540229885057471
4,4,0.5,0.3,3,mkt_ma20,none,2,0.6648791950507594,0.45632857040822083,0.12828153919348906,-0.2811166065686648,-1.2953600424558078,8.988505747126435
4,4,0.5,0.3,3,mkt_ma20,none,4,0.7324793920156127,0.5053259801737079,0.14542004990100343,-0.2877747347385834,-1.901916167606762,6.390804597701149
4,4,0.5,0.3,3,mkt_ma20,0.15,1,0.8508070772234779,0.6108935635923175,0.12105767834828751,-0.1981649268596254,-1.0412260500880641,9.545451374955292
4,4,0.5,0.3,3,mkt_ma20,0.15,2,0.7249628470232435,0.4513883960517171,0.1063652005414375,-0.23564008616927512,-1.2953600424558078,6.5327391982136245
